Year,Year2,Year3,State,Total Rev
12/1/03,2003-00-01,1/1/03,Vermont,0.040159947
12/1/03,2003-00-01,1/1/03,Virginia,0.023448882
12/1/03,2003-00-01,1/1/03,Washington,0.010242956
12/1/03,2003-00-01,1/1/03,West Virginia,0.014561829
12/1/03,2003-00-01,1/1/03,Wisconsin,0.01122315
12/1/03,2003-00-01,1/1/03,Wyoming,0.059468097
12/1/04,2004-00-01,1/1/04,United States,0.03906374
12/1/04,2004-00-01,1/1/04,Alabama,-0.005782037
12/1/04,2004-00-01,1/1/04,Alaska,0.024374933
12/1/04,2004-00-01,1/1/04,Arizona,0.01472277
12/1/04,2004-00-01,1/1/04,Arkansas,0.019968276
12/1/04,2004-00-01,1/1/04,California,0.033510445
12/1/04,2004-00-01,1/1/04,Colorado,0.046138742
12/1/04,2004-00-01,1/1/04,Connecticut,0.031375185
12/1/04,2004-00-01,1/1/04,Delaware,0.075859938
12/1/04,2004-00-01,1/1/04,District of Columbia,-0.043488918
12/1/04,2004-00-01,1/1/04,Florida,0.076466409
12/1/04,2004-00-01,1/1/04,Georgia,0.002305037
12/1/04,2004-00-01,1/1/04,Hawaii,0.088772028
12/1/04,2004-00-01,1/1/04,Idaho,-0.00136767
12/1/04,2004-00-01,1/1/04,Illinois,0.040517511
12/1/04,2004-00-01,1/1/04,Indiana,0.066634
12/1/04,2004-00-01,1/1/04,Iowa,0.011580652
12/1/04,2004-00-01,1/1/04,Kansas,0.099437861
12/1/04,2004-00-01,1/1/04,Kentucky,0.048623
12/1/04,2004-00-01,1/1/04,Louisiana,0.051157907
12/1/04,2004-00-01,1/1/04,Maine,0.087197547
12/1/04,2004-00-01,1/1/04,Maryland,0.025805563
12/1/04,2004-00-01,1/1/04,Massachusetts,0.017028785
12/1/04,2004-00-01,1/1/04,Michigan,-0.026717938
12/1/04,2004-00-01,1/1/04,Minnesota,0.049329098
12/1/04,2004-00-01,1/1/04,Mississippi,0.09923724
12/1/04,2004-00-01,1/1/04,Missouri,0.009186149
12/1/04,2004-00-01,1/1/04,Montana,0.066612336
12/1/04,2004-00-01,1/1/04,Nebraska,0.03221369
12/1/04,2004-00-01,1/1/04,Nevada,0.049783883
12/1/04,2004-00-01,1/1/04,New Hampshire,0.110771323
12/1/04,2004-00-01,1/1/04,New Jersey,0.102557347
12/1/04,2004-00-01,1/1/04,New Mexico,0.068253489
12/1/04,2004-00-01,1/1/04,New York,0.101928271
12/1/04,2004-00-01,1/1/04,North Carolina,0.010853898
12/1/04,2004-00-01,1/1/04,North Dakota,0.091444348
12/1/04,2004-00-01,1/1/04,Ohio,0.018264473
12/1/04,2004-00-01,1/1/04,Oklahoma,0.006678248
12/1/04,2004-00-01,1/1/04,Oregon,0.025007904
12/1/04,2004-00-01,1/1/04,Pennsylvania,0.089379594
12/1/04,2004-00-01,1/1/04,Rhode Island,0.073602274
12/1/04,2004-00-01,1/1/04,South Carolina,-0.01821479
12/1/04,2004-00-01,1/1/04,South Dakota,0.052772054
12/1/04,2004-00-01,1/1/04,Tennessee,0.034171913
12/1/04,2004-00-01,1/1/04,Texas,0.014219912
12/1/04,2004-00-01,1/1/04,Utah,-0.013510116
12/1/04,2004-00-01,1/1/04,Vermont,0.08108561
12/1/04,2004-00-01,1/1/04,Virginia,0.049438086
12/1/04,2004-00-01,1/1/04,Washington,0.008073955
12/1/04,2004-00-01,1/1/04,West Virginia,0.028522243
12/1/04,2004-00-01,1/1/04,Wisconsin,0.016811776
12/1/04,2004-00-01,1/1/04,Wyoming,0.037892549
12/1/05,2005-00-01,1/1/05,United States,0.060895675
12/1/05,2005-00-01,1/1/05,Alabama,0.063054438
12/1/05,2005-00-01,1/1/05,Alaska,0.082474482
12/1/05,2005-00-01,1/1/05,Arizona,0.013251771
12/1/05,2005-00-01,1/1/05,Arkansas,0.143163725
12/1/05,2005-00-01,1/1/05,California,0.031178289
12/1/05,2005-00-01,1/1/05,Colorado,0.061873868
12/1/05,2005-00-01,1/1/05,Connecticut,0.086477337
12/1/05,2005-00-01,1/1/05,Delaware,0.104092769
12/1/05,2005-00-01,1/1/05,District of Columbia,-0.004549568
12/1/05,2005-00-01,1/1/05,Florida,0.099854255
12/1/05,2005-00-01,1/1/05,Georgia,-0.006377393
12/1/05,2005-00-01,1/1/05,Hawaii,0.126863603
12/1/05,2005-00-01,1/1/05,Idaho,-0.002531557
12/1/05,2005-00-01,1/1/05,Illinois,0.038500416
12/1/05,2005-00-01,1/1/05,Indiana,0.148659439
12/1/05,2005-00-01,1/1/05,Iowa,0.041351442
12/1/05,2005-00-01,1/1/05,Kansas,0.032247247
12/1/05,2005-00-01,1/1/05,Kentucky,0.061878613
12/1/05,2005-00-01,1/1/05,Louisiana,0.072743275
12/1/05,2005-00-01,1/1/05,Maine,0.117517633
12/1/05,2005-00-01,1/1/05,Maryland,0.088646241
12/1/05,2005-00-01,1/1/05,Massachusetts,0.079296566
12/1/05,2005-00-01,1/1/05,Michigan,-0.030647462
12/1/05,2005-00-01,1/1/05,Minnesota,0.035903591
12/1/05,2005-00-01,1/1/05,Mississippi,0.110925425
12/1/05,2005-00-01,1/1/05,Missouri,0.049786757
12/1/05,2005-00-01,1/1/05,Montana,0.065312712
12/1/05,2005-00-01,1/1/05,Nebraska,0.060808187
12/1/05,2005-00-01,1/1/05,Nevada,0.081378193
12/1/05,2005-00-01,1/1/05,New Hampshire,0.149754887
12/1/05,2005-00-01,1/1/05,New Jersey,0.147103021
12/1/05,2005-00-01,1/1/05,New Mexico,0.073129092
